section,in_resume,title,loc,institution,start,end,description_1,description_2,description_3
education,TRUE,"M.S., Program Evaluation and Data Analytics",Arizona State University,"Phoenix, AZ",2019,2020,"Data programming, visualization, dashboard, design, open data, project management and impact analysis",NA,NA
education,TRUE,"B.S., Chemistry (minors in Leadership Studies, Math, Psychology)",University of Denver,"Denver, CO",2012,2016,Chancellor Scholarship Recipient,http://portfolio.du.edu/kgentry4,NA
experience,TRUE,Community Development Coordinator,City of Chandler,"Chandler, AZ",2019,2020,Assist in the management of Community Development Block Grant funds and HOME Investment Partnership Program funds that are allocated by the City of Chandler to develop viable urban communities by providing decent housing and a suitable living environment for low- and moderate-income Chandler residents.,Oversee the public service agencies and capital projects to ensure compliance with Housing and Urban Development (HUD) regulations and use of funds. ,Monitor and evaluate subrecipients to ensure effective use of funding and performance while offering technical assistant to optimize spending. 
experience,TRUE,Founder and CEO,Street Sense Solutions,"Phoenix, AZ",2018,2020,"Educates and informs community members about the complexities, daily struggles, and systemic barriers of individuals and families experiencing homelessness in the metro Phoenix area through a hands-on simulation. ","Facilitate discussions and debrief conversations about the experience of the simulation and how to get involved in proven, sustainable solutions that help end homelessness in Maricopa County. ","Worked with companies such as City of Chandler, HOM Inc, QuickenLoans, and a New Leaf. "
experience,TRUE,Human Services Planner II,Maricopa Association of Governments,"Phoenix, AZ",2018,2019,Facilitate relationships to further partnerships within the homelessness community.,Analyze and investigate the homelessness system to better serve individuals experiencing homelessness.,NA
experience,TRUE,Research & Policy Coordinator,Arizona Housing Coalition,"Phoenix, AZ",2018,2018,"Facilitate relationships with key partners to develop a statewide Veteran By-Name List collaborating with governmental agencies, businesses, and non-profits. ","Document, create, and organize policies, procedures, stories, case studies, and other tools within the Continuums of Care to apply Best Practices with innovative and creative strategies to end homelessness specifically focusing on Veteran and Chronic subpopulations. ","Analyze system wide data to inform policy, education, training, and collaboration efforts of the organization. "
experience,TRUE,Council Aide,"City of Phoenix, Mayor's Office","Phoenix, AZ",2016,2018,"Addressed the Mayor initiatives on homelessness specifically regarding Veteran homelessness, outreach and engagement, and achieving the goals of Built for Zero effectively ending homelessness.","Coordinated and planned homeless programs including the Point in Time Count, Veteran Stand Down, Heat Relief Network, Emergency Resource Center set-up, Veteran By Name List coordination, and more.","Assisted in the development of Request for Proposals (RFPs), Annual Action Plan (AAP), Consolidated Plan update, Consolidated Annual Performance Evaluation Report (CAPER), contract reports and tools, City Council reports, Mayoral meetings, and City Manager briefings related to homelessness. "
activities,TRUE,"Alumni Ambassador, Community Leadership Corps Participant",Obama Foundation,"Phoenix, AZ",2018,2019,Empower and train young people invested in their communities and eager to make a difference.,"design thinking, community organizing, project management, and equity-centered leadership",NA
activities,TRUE,Member,Young Non-Profit Professional Network,"Phoenix, AZ",2018,2020,building a stronger community propelled by a network of inspired and engaged leaders,"network of diverse thought leaders dedicated to creating a thriving, resilient, and inclusive social sector in Phoenix.",NA
activities,TRUE,Secretary,Delta Delta Delta Sorority,"Phoenix, AZ",2012,2020,Secretary for the Alumni chapter,"establish a perpetual bond of friendship among its members, to develop a stronger and more womanly character, to broaden the moral and intellectual life, and to assist its members in every possible way.",NA
activities,FALSE,[A year as told by fitbit](https://livefreeordichotomize.com/2017/12/27/a-year-as-told-by-fitbit/),LiveFreeOrDichotomize.com,NA,NA,2017,Analyzing a full years worth of second-level heart rate data from wearable device.,Demonstrated visualization-based inference for large data.,NA
activities,FALSE,[MCMC and the case of the spilled seeds](https://livefreeordichotomize.com/2017/10/14/mcmc-and-the-case-of-the-spilled-seeds/),LiveFreeOrDichotomize.com,NA,NA,2017,Full Bayesian MCMC sampler running in your browser.,Coded from scratch in vanilla Javascript.,NA
